SchoolCode,SchoolName,City,StateCode
039745,"CALIFORNIA CAREER COLLEGE","CANOGA PARK",CA
039753,"INSTITUTE OF PROFESSIONAL CAREERS","LAS VEGAS",NV
039803,"CALIFORNIA STATE UNIVERSITY CHANNEL ISLA",CAMARILLO,CA
039823,"VISIBLE MUSIC COLLEGE",MEMPHIS,TN
039833,"SCHOOL OF PROFESSIONAL HORTICULTURE, AT",BRONX,NY
039853,"CDA TECHNICAL INSTITUTE",JACKSONVILLE,FL
039863,"AVIATOR COLLEGE OF AERONAUTICAL SCIENCE","FORT PIERCE",FL
039873,"TEXAS HEALTH SCHOOL",HOUSTON,TX
039883,"SAE INSTITUTE OF TECHNOLOGY - NEWYORK","NEW YORK",NY
039953,"UNIVERSITY OF EAST-WEST MEDICINE",SUNNYVALE,CA
039973,"ARKANSAS BEAUTY COLLEGE",RUSSELLVILLE,AR
039993,"BEAUMONT ADULT SCHOOL",BEAUMONT,CA
040013,"PALACE BEAUTY COLLEGE","LOS ANGELES",CA
040033,"BLAKE AUSTIN COLLEGE",VACAVILLE,CA
040053,"UNITED STATES UNIVERSITY","SAN DIEGO",CA
040063,"NUVO COLLEGE OF COSMETOLOGY","NORTON SHORES",MI
040143,"P&A SCHOLARS BEAUTY SCHOOL",DETROIT,MI
040144,"PALLADIUM TECHNICAL ACADEMY","TEMPLE CITY",CA
040165,"AMERICAN INSTITUTE OF BEAUTY",LARGO,FL
040213,"AUGUSTA SCHOOL OF MASSAGE",EVANS,GA
040283,"MOUNTAIN STATE SCHOOL OF MASSAGE",CHARLESTON,WV
040293,"TRENDSETTERS OF FLORIDA SCHOOL OF BEAUTY",JACKSONVILLE,FL
040313,"SALON PROFESSIONAL ACADEMY (THE)",FARGO,ND
040363,"SOUTHEAST TEXAS CAREER INSTITUTE",SILSBEE,TX
040373,"LOS ANGELES FILM SCHOOL (THE)",HOLLYWOOD,CA
040375,"ACADEMY OF HAIR DESIGN",SPRINGFIELD,MO
040383,"ATA CAREER EDUCATION",LOUISVILLE,KY
040384,"AVI CAREER INSTITUTE","GREAT FALLS",VA
040385,"PIERPONT COMMUNITY & TECHNICAL COLLEGE",FAIRMONT,WV
040386,"BRIDGEVALLEY COMMUNITY AND TECHNICAL COL","SOUTH CHARLESTON",WV
040387,"IDEAL BEAUTY ACADEMY",LOUISVILLE,KY
040403,"COMPASS CAREER COLLEGE",HAMMOND,LA
040413,"BERKS CAREER & TECHNOLOGY CENTER",LEESPORT,PA
040414,"MOUNTWEST COMMUNITY AND TECHNICAL COLLEG",HUNTINGTON,WV
040433,"ACE INSTITUTE OF TECHNOLOGY","NEW YORK",NY
040443,"HAZELDEN GRADUATE SCHOOL OF ADDICTION ST","CENTER CITY",MN
040513,"ART INSTITUTE OF LAS VEGAS (THE)",HENDERSON,NV
040543,"SOUTHWEST TECHNICAL COLLEGE","CEDAR CITY",UT
040553,"CREATIVE HAIR SCHOOL OF COSMETOLOGY",FLINT,MI
040573,"ASHER COLLEGE",SACRAMENTO,CA
040593,"TUCSON COLLEGE OF BEAUTY",TUCSON,AZ
040603,"AMERICAN INSTITUTE OF MEDICAL TECHNOLOGY",TULSA,OK
040653,"ROSEMAN UNIVERSITY OF HEALTH SCIENCES",HENDERSON,NV
040663,"CARDIAC AND VASCULAR INSTITUTE OF ULTRAS",MOBILE,AL
040673,"SELMA UNIVERSITY",SELMA,AL
040683,"FOUR COUNTY CAREER CENTER",ARCHBOLD,OH
040723,"AVEDA INSTITUTE PROVO",PROVO,UT
040733,"JUNG TAO SCHOOL OF CLASSICAL CHINESE MED","SUGAR GROVE",NC
040743,"HONDROS COLLEGE OF NURSING",WESTERVILLE,OH
040764,"GNOMON SCHOOL OF VISUAL EFFECTS",HOLLYWOOD,CA
040803,"ASPEN UNIVERSITY",DENVER,CO
040813,"BAIS MEDRASH TORAS CHESED",LAKEWOOD,NJ
040823,"PROFESSIONAL CAREER TRAINING INSTITUTE",HOUSTON,TX
040833,"ACADEMY FOR CAREERS AND TECHNOLOGY",MULLINS,SC
